"PatchID","XCOORD","YCOORD","ID","MID","FID","sex","age","size","mature","newmature","layeggs","capture","recapture","state","CDist","Hindex","Species","ClassFile","SubPatchID","L0A0","L0A1","L1A0","L1A1","L2A0","L2A1","L3A0","L3A1"
1,56758.45394,381341.8208,"S1_F10_m1f1_P10_Y8_UO0","I1_F44_m9f9_P10_Y6_UO550","I1_F44_m9f9_P10_Y4_UO554","MXY",1,0,0,0,0,0,0,0,-9999,0.625,1,"P0_CV0",1,1,1,0,2,0,2,0,2
1,56758.45394,381341.8208,"S1_F33_m9f9_P33_Y8_UO570","I9_F18_m9f9_P44_Y5_UO531","I9_F33_m1f1_P33_Y5_UO24","FXX",1,0,0,0,0,0,0,0,-9999,0.46875,1,"P0_CV0",1,2,0,2,0,0,2,0,2
1,56758.45394,381341.8208,"S1_F44_m9f9_P44_Y8_UO542","I9_F10_m9f9_P33_Y6_UO554","I9_F33_m1f1_P10_Y5_UO13","MXY",1,0,0,0,0,0,0,0,-9999,0.6875,1,"P8_CV0",1,2,0,1,1,0,2,0,2
1,56758.45394,381341.8208,"I1_F33_m1f1_P33_Y7_UO87","ID1_F33_m1f1_P33_Y0_UO11","I1_F33_m1f1_P33_Y1_UO6","MXY",2,0,1,0,0,0,0,0,-9999,0.625,1,"P0_CV0",1,1,1,0,2,0,2,0,2
1,56758.45394,381341.8208,"I1_F10_m1f1_P33_Y6_UO38","I1_F44_m77f77_P33_Y3_UO3344","I1_F33_m77f77_P10_Y4_UO3414","FXX",3,0,1,0,1,0,0,0,-9999,0.375,1,"P76_CV0",1,1,1,1,1,0,2,0,2
1,56758.45394,381341.8208,"I1_F33_m77f77_P10_Y5_UO3409","I77_F10_m-1f-1_P77_Y-1_U116","ID77_F33_m4f4_P82_Y1_UO230","MXY",4,0,1,0,0,0,0,0,-9999,0.375,1,"P3_CV0",1,0,2,1,1,0,2,0,2
1,56758.45394,381341.8208,"I1_F44_m9f9_P33_Y2_UO503","ID9_F33_m-1f-1_P9_Y-1_U206","I9_F33_m-1f-1_P9_Y-1_U52","FXX",7,0,1,0,1,0,0,0,-9999,0.5,1,"P8_CV0",1,1,1,0,2,0,2,0,2
1,56758.45394,381341.8208,"I1_F33_m-1f-1_P1_Y-1_U6","-9999","-9999","MXY",15,0,1,0,0,0,0,0,-9999,1,1,"P0_CV0",1,2,0,1,1,0,2,0,2
3,338102.6853,-1366704.895,"S3_F59_m3f3_P59_Y8_UO130","I3_F59_m3f3_P59_Y6_UO131","I3_F59_m16f16_P59_Y6_UO915","FXX",1,0,0,0,0,0,0,0,-9999,0.34375,1,"P15_CV0",1,0,2,1,1,0,2,0,2
3,338102.6853,-1366704.895,"S3_F59_m3f3_P59_Y8_UO129","I3_F59_m56f56_P59_Y6_UO2679","I3_F59_m3f3_P59_Y6_UO197","MXY",1,0,0,0,0,0,0,0,-9999,0.625,1,"P55_CV0",1,2,0,2,0,0,2,0,2
