Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,2420|1845|1636|1443|1163|903|682|496|359|353|221|247|255|255|122|100|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,2420|1845|1636|1443|1163|903|682|496|359|353|221|247|255|255|122|100|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|2420|1845|1636|1443|1163|903|682|496|359|353|221|247|255|255|222|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|2420|1845|1636|1443|1163|903|682|496|359|353|221|247|255|255|222|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,5099|2420|1845|1636|1443|1163|903|682|496|359|353|221|247|255|255|222|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,5099|2420|1845|1636|1443|1163|903|682|496|359|353|221|247|255|255|222|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,239|1107|514|430|355|262|188|126|83|54|48|27|43|67|97|57|,4860|1313|1331|1206|1088|901|715|556|413|305|305|194|204|188|158|65|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4860|1313|1331|1206|1088|901|715|556|413|305|305|194|204|188|158|65|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4860|1313|1331|1206|1088|901|715|556|413|305|305|194|204|188|158|65|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4860|1313|1331|1206|1088|901|715|556|413|305|305|194|204|188|223|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4860|1313|1331|1206|1088|901|715|556|413|305|305|194|204|188|223|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4522|4860|1313|1331|1206|1088|901|715|556|413|305|305|194|204|188|223|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4522|4860|1313|1331|1206|1088|901|715|556|413|305|305|194|204|188|223|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,212|2285|382|361|304|252|200|140|99|69|47|41|37|59|74|73|,4310|2575|931|970|902|836|701|575|457|344|258|264|157|145|114|85|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4310|2575|931|970|902|836|701|575|457|344|258|264|157|145|114|85|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4310|2575|931|970|902|836|701|575|457|344|258|264|157|145|114|85|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4310|2575|931|970|902|836|701|575|457|344|258|264|157|145|199|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4310|2575|931|970|902|836|701|575|457|344|258|264|157|145|199|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4693|4310|2575|931|970|902|836|701|575|457|344|258|264|157|145|199|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4693|4310|2575|931|970|902|836|701|575|457|344|258|264|157|145|199|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,244|2031|757|249|247|210|183|135|102|68|49|43|49|45|56|51|,4449|2279|1818|682|723|692|653|566|473|389|295|215|215|112|89|63|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4449|2279|1818|682|723|692|653|566|473|389|295|215|215|112|89|63|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4449|2279|1818|682|723|692|653|566|473|389|295|215|215|112|89|63|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4449|2278|1817|682|723|692|653|566|473|389|295|215|215|112|152|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4449|2278|1817|682|723|692|653|566|473|389|295|215|215|112|152|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4698|4449|2278|1817|682|723|692|653|566|473|389|295|215|215|112|152|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4698|4449|2278|1817|682|723|692|653|566|473|389|295|215|215|112|152|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,167|2108|671|502|172|166|149|128|102|74|54|46|42|61|41|42|,4531|2341|1607|1315|510|557|543|525|464|399|335|249|173|154|71|47|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4531|2341|1607|1315|510|557|543|525|464|399|335|249|173|154|71|47|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4531|2341|1607|1315|510|557|543|525|464|399|335|249|173|154|71|47|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4531|2341|1606|1315|510|557|543|525|464|399|335|249|173|154|118|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4531|2341|1606|1315|510|557|543|525|464|399|335|249|173|154|118|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4752|4531|2341|1606|1315|510|557|543|525|464|399|335|249|173|154|118|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4752|4531|2341|1606|1315|510|557|543|525|464|399|335|249|173|154|118|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,97|2139|693|443|338|115|120|106|92|74|54|51|44|50|58|34|,4655|2392|1648|1163|977|395|437|437|433|390|345|284|205|123|96|37|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4655|2392|1648|1163|977|395|437|437|433|390|345|284|205|123|96|37|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4655|2392|1648|1163|977|395|437|437|433|390|345|284|205|123|96|37|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4655|2392|1647|1163|977|395|436|437|433|390|345|284|205|123|133|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4655|2392|1647|1163|977|395|436|437|433|390|345|284|205|123|133|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4735|4655|2392|1647|1163|977|395|436|437|433|390|345|284|205|123|133|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4735|4655|2392|1647|1163|977|395|436|437|433|390|345|284|205|123|133|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,76|2210|716|463|305|237|82|87|74|68|60|61|54|59|47|40|,4659|2445|1676|1184|858|740|313|349|363|365|330|284|230|146|76|56|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4659|2445|1676|1184|858|740|313|349|363|365|330|284|230|146|76|56|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4659|2445|1676|1184|858|740|313|349|363|365|330|284|230|146|76|56|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4659|2445|1676|1184|858|740|312|349|363|365|330|283|230|146|132|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4659|2445|1676|1184|858|740|312|349|363|365|330|283|230|146|132|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4732|4659|2445|1676|1184|858|740|312|349|363|365|330|283|230|146|132|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4732|4659|2445|1676|1184|858|740|312|349|363|365|330|283|230|146|132|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,89|2211|726|467|314|208|169|65|61|60|54|51|59|58|50|36|,4643|2448|1719|1209|870|650|571|247|288|303|311|279|224|172|96|40|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4643|2448|1719|1209|870|650|571|247|288|303|311|279|224|172|96|40|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4643|2448|1719|1209|870|650|571|247|288|303|311|279|224|172|96|40|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4643|2447|1718|1209|868|650|569|247|288|301|311|279|224|172|136|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4643|2447|1718|1209|868|650|569|247|288|301|311|279|224|172|136|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4719|4643|2447|1718|1209|868|650|569|247|288|301|311|279|224|172|136|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4719|4643|2447|1718|1209|868|650|569|247|288|301|311|279|224|172|136|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,48|2209|734|483|315|210|146|118|43|44|42|50|52|62|65|43|,4671|2434|1713|1235|894|658|504|451|204|244|259|261|227|162|107|53|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4671|2434|1713|1235|894|658|504|451|204|244|259|261|227|162|107|53|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4671|2434|1713|1235|894|658|504|451|204|244|259|261|227|162|107|53|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4671|2433|1713|1234|894|656|504|451|204|244|259|260|227|162|160|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4671|2433|1713|1234|894|656|504|451|204|244|259|260|227|162|160|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4703|4671|2433|1713|1234|894|656|504|451|204|244|259|260|227|162|160|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4703|4671|2433|1713|1234|894|656|504|451|204|244|259|260|227|162|160|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,36|2220|734|483|327|215|150|105|90|34|37|45|50|57|61|47|,4667|2451|1699|1230|907|679|506|399|361|170|207|214|210|170|101|60|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4667|2451|1699|1230|907|679|506|399|361|170|207|214|210|170|101|60|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4667|2451|1699|1230|907|679|506|399|361|170|207|214|210|170|101|60|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4667|2449|1695|1228|902|678|505|399|360|170|207|214|209|170|158|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4667|2449|1695|1228|902|678|505|399|360|170|207|214|209|170|158|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4660|4667|2449|1695|1228|902|678|505|399|360|170|207|214|209|170|158|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4660|4667|2449|1695|1228|902|678|505|399|360|170|207|214|209|170|158|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,66|2224|735|479|324|218|153|109|73|58|21|35|41|57|63|43|,4594|2443|1714|1216|904|684|525|396|326|302|149|172|173|152|107|56|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
