Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,2454|1901|1598|1411|1152|836|648|504|354|353|239|243|250|258|156|143|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,2454|1901|1598|1411|1152|836|648|504|354|353|239|243|250|258|156|143|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|2454|1901|1598|1411|1152|836|648|504|354|353|239|243|250|258|299|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|2454|1901|1598|1411|1152|836|648|504|354|353|239|243|250|258|299|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4979|2454|1901|1598|1411|1152|836|648|504|354|353|239|243|250|258|299|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4979|2454|1901|1598|1411|1152|836|648|504|354|353|239|243|250|258|299|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,191|1126|532|416|338|256|172|127|88|57|49|42|46|66|98|75|,4788|1328|1369|1182|1073|896|664|521|416|297|304|197|197|184|160|81|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4788|1328|1369|1182|1073|896|664|521|416|297|304|197|197|184|160|81|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4788|1328|1369|1182|1073|896|664|521|416|297|304|197|197|184|160|81|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4788|1328|1369|1182|1073|896|663|521|416|297|304|197|197|184|241|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4788|1328|1369|1182|1073|896|663|521|416|297|304|197|197|184|241|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4427|4788|1328|1369|1182|1073|896|663|521|416|297|304|197|197|184|241|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4427|4788|1328|1369|1182|1073|896|663|521|416|297|304|197|197|184|241|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,213|2237|377|362|289|251|193|128|96|63|45|49|39|57|69|76|,4214|2551|951|1007|893|822|703|535|425|353|252|255|158|140|115|84|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4214|2551|951|1007|893|822|703|535|425|353|252|255|158|140|115|84|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4214|2551|951|1007|893|822|703|535|425|353|252|255|158|140|115|84|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4214|2551|951|1007|893|822|703|535|425|353|252|255|158|140|199|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4214|2551|951|1007|893|822|703|535|425|353|252|255|158|140|199|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4584|4214|2551|951|1007|893|822|703|535|425|353|252|255|158|140|199|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4584|4214|2551|951|1007|893|822|703|535|425|353|252|255|158|140|199|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,168|1970|738|250|247|203|176|136|95|68|48|45|50|47|51|48|,4416|2244|1813|701|760|690|646|567|440|357|305|207|205|111|89|67|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4416|2244|1813|701|760|690|646|567|440|357|305|207|205|111|89|67|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4416|2244|1813|701|760|690|646|567|440|357|305|207|205|111|89|67|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4416|2244|1813|701|760|690|646|567|440|357|305|207|205|111|156|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4416|2244|1813|701|760|690|646|567|440|357|305|207|205|111|156|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4582|4416|2244|1813|701|760|690|646|567|440|357|305|207|205|111|156|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4582|4416|2244|1813|701|760|690|646|567|440|357|305|207|205|111|156|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,138|2069|654|493|167|170|145|127|95|72|48|50|33|52|44|39|,4444|2347|1590|1320|534|590|545|519|472|368|309|255|174|153|67|50|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4444|2347|1590|1320|534|590|545|519|472|368|309|255|174|153|67|50|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4444|2347|1590|1320|534|590|545|519|472|368|309|255|174|153|67|50|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4444|2347|1590|1320|534|590|545|519|472|368|309|255|174|153|117|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4444|2347|1590|1320|534|590|545|519|472|368|309|255|174|153|117|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4619|4444|2347|1590|1320|534|590|545|519|472|368|309|255|174|153|117|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4619|4444|2347|1590|1320|534|590|545|519|472|368|309|255|174|153|117|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,94|2102|693|437|342|123|125|105|92|75|51|54|53|45|58|31|,4525|2342|1654|1153|978|411|465|440|427|397|317|255|202|129|95|36|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4525|2342|1654|1153|978|411|465|440|427|397|317|255|202|129|95|36|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4525|2342|1654|1153|978|411|465|440|427|397|317|255|202|129|95|36|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4525|2342|1654|1153|978|411|465|440|427|397|317|255|202|129|131|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4525|2342|1654|1153|978|411|465|440|427|397|317|255|202|129|131|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4656|4525|2342|1654|1153|978|411|465|440|427|397|317|255|202|129|131|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4656|4525|2342|1654|1153|978|411|465|440|427|397|317|255|202|129|131|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,87|2136|694|457|304|234|85|89|76|68|58|48|50|54|49|42|,4569|2389|1648|1197|849|744|326|376|364|359|339|269|205|148|80|53|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4569|2389|1648|1197|849|744|326|376|364|359|339|269|205|148|80|53|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4569|2389|1648|1197|849|744|326|376|364|359|339|269|205|148|80|53|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4569|2389|1648|1197|849|743|326|376|364|359|339|269|205|148|133|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4569|2389|1648|1197|849|743|326|376|364|359|339|269|205|148|133|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4684|4569|2389|1648|1197|849|743|326|376|364|359|339|269|205|148|133|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4684|4569|2389|1648|1197|849|743|326|376|364|359|339|269|205|148|133|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,68|2167|714|461|311|209|166|64|64|58|51|54|54|61|58|36|,4616|2402|1675|1187|886|640|577|262|312|306|308|285|215|144|90|44|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4616|2402|1675|1187|886|640|577|262|312|306|308|285|215|144|90|44|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4616|2402|1675|1187|886|640|577|262|312|306|308|285|215|144|90|44|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4616|2402|1674|1187|886|640|577|262|312|306|308|285|215|143|134|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4616|2402|1674|1187|886|640|577|262|312|306|308|285|215|143|134|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4604|4616|2402|1674|1187|886|640|577|262|312|306|308|285|215|143|134|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4604|4616|2402|1674|1187|886|640|577|262|312|306|308|285|215|143|134|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,64|2197|720|467|307|215|144|115|43|56|44|51|56|57|52|43|,4540|2419|1682|1207|880|671|496|462|219|256|262|257|229|158|91|47|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4540|2419|1682|1207|880|671|496|462|219|256|262|257|229|158|91|47|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4540|2419|1682|1207|880|671|496|462|219|256|262|257|229|158|91|47|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4540|2419|1681|1206|879|671|496|462|218|256|262|256|229|158|138|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4540|2419|1681|1206|879|671|496|462|218|256|262|256|229|158|138|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4604|4540|2419|1681|1206|879|671|496|462|218|256|262|256|229|158|138|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4604|4540|2419|1681|1206|879|671|496|462|218|256|262|256|229|158|138|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,76|2168|737|477|319|217|150|102|91|36|33|43|49|63|65|41|,4528|2372|1682|1204|887|662|521|394|371|182|223|219|207|166|93|50|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4528|2372|1682|1204|887|662|521|394|371|182|223|219|207|166|93|50|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4528|2372|1682|1204|887|662|521|394|371|182|223|219|207|166|93|50|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4528|2367|1679|1204|886|660|520|392|371|181|222|219|207|166|143|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4528|2367|1679|1204|886|660|520|392|371|181|222|219|207|166|143|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4550|4528|2367|1679|1204|886|660|520|392|371|181|222|219|207|166|143|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4550|4528|2367|1679|1204|886|660|520|392|371|181|222|219|207|166|143|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,44|2160|712|475|317|222|155|107|77|65|20|29|38|55|63|42|,4506|2368|1655|1204|887|664|505|413|315|306|161|193|181|152|103|51|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
