"PatchID","XCOORD","YCOORD","ID","MID","FID","sex","age","size","mature","newmature","layeggs","capture","recapture","state","CDist","Hindex","Species","ClassFile","SubPatchID","L0A0","L0A1","L1A0","L1A1","L2A0","L2A1","L3A0","L3A1"
1,56758.45394,381341.8208,"S1_F10_m1f1_P10_Y1_UO1","I1_F33_m-1f-1_P1_Y-1_U62","I1_F33_m-1f-1_P1_Y-1_U127","FXX",1,0,0,0,0,0,0,0,-9999,0.75,1,"P0_CV0",1,1,1,1,1,0,2,0,2
1,56758.45394,381341.8208,"S1_F33_m1f1_P33_Y1_UO26","I1_F33_m-1f-1_P1_Y-1_U105","ID1_F33_m-1f-1_P1_Y-1_U3","MXY",1,0,0,0,0,0,0,0,-9999,0.25,1,"P0_CV0",1,1,1,2,0,0,2,0,2
1,56758.45394,381341.8208,"S1_F44_m1f1_P44_Y1_UO68","I1_F33_m-1f-1_P1_Y-1_U216","I1_F44_m-1f-1_P1_Y-1_U179","FXX",1,0,0,0,0,0,0,0,-9999,0.75,1,"P0_CV0",1,2,0,0,2,0,2,0,2
1,56758.45394,381341.8208,"I1_F33_m77f77_P10_Y0_UO3690","R77_F77_m-1f-1_P77_Y-1_U51","R77_F77_m-1f-1_P77_Y-1_U86","FXX",2,0,1,0,1,0,0,0,-9999,0.25,1,"P76_CV0",1,1,1,1,1,0,2,0,2
1,56758.45394,381341.8208,"I1_F44_m9f9_P10_Y0_UO583","R9_F9_m-1f-1_P9_Y-1_U168","R9_F9_m-1f-1_P9_Y-1_U45","MXY",2,0,1,0,0,0,0,0,3179,0.5,1,"P8_CV0",1,0,2,1,1,0,2,0,2
1,56758.45394,381341.8208,"I1_F33_m-1f-1_P1_Y-1_U47","-9999","-9999","MXY",5,0,1,0,0,0,0,0,-9999,0.5,1,"P0_CV0",1,1,1,0,2,0,2,0,2
1,56758.45394,381341.8208,"ID1_F33_m-1f-1_P1_Y-1_U173","-9999","-9999","MXY",7,0,1,0,0,0,0,0,-9999,0.5,1,"P0_CV0",1,1,1,1,1,0,2,0,2
1,56758.45394,381341.8208,"I1_F10_m-1f-1_P1_Y-1_U17","-9999","-9999","FXX",16,0,1,0,1,0,0,0,-9999,0.5,1,"P0_CV0",1,1,1,1,1,0,2,0,2
3,338102.6853,-1366704.895,"S3_F59_m16f16_P59_Y1_UO812","I16_F59_m-1f-1_P16_Y-1_U26","I16_F59_m-1f-1_P16_Y-1_U15","MXY",1,0,0,0,0,0,0,0,-9999,0.5,1,"P15_CV0",1,1,1,1,1,0,2,0,2
3,338102.6853,-1366704.895,"S3_F59_m79f79_P59_Y1_UO3460","ID79_F59_m-1f-1_P3_Y-1_U129","I79_F59_m-1f-1_P79_Y-1_U123","FXX",1,0,0,0,0,0,0,0,-9999,0.25,1,"P2_CV0",1,0,2,1,1,0,2,0,2
3,338102.6853,-1366704.895,"S3_F64_m17f17_P64_Y1_UO899","ID17_F64_m-1f-1_P95_Y-1_U2","I17_F64_m-1f-1_P17_Y-1_U23","FXX",1,0,0,0,0,0,0,0,-9999,0.25,1,"P16_CV0",1,1,1,1,1,0,2,0,2
3,338102.6853,-1366704.895,"I3_F59_m3f3_P59_Y0_UO165","R3_F3_m-1f-1_P3_Y-1_U139","R3_F3_m-1f-1_P3_Y-1_U18","FXX",2,0,1,0,1,0,0,0,4138,0.5,1,"P2_CV0",1,1,1,0,2,0,2,0,2
3,338102.6853,-1366704.895,"I3_F64_m-1f-1_P3_Y-1_U51","-9999","-9999","FXX",3,0,1,0,1,0,0,0,-9999,0,1,"P2_CV0",1,0,2,1,1,0,2,0,2
3,338102.6853,-1366704.895,"ID3_F59_m-1f-1_P79_Y-1_U93","-9999","-9999","MXY",5,0,1,0,0,0,0,0,-9999,1,1,"P78_CV0",1,2,0,2,0,0,2,0,2
3,338102.6853,-1366704.895,"ID3_F59_m-1f-1_P3_Y-1_U153","-9999","-9999","FXX",7,0,1,0,1,0,0,0,-9999,1,1,"P2_CV0",1,2,0,2,0,0,2,0,2
3,338102.6853,-1366704.895,"I3_F59_m-1f-1_P3_Y-1_U237","-9999","-9999","FXX",16,0,1,0,1,0,0,0,-9999,0,1,"P2_CV0",1,0,2,0,2,0,2,0,2
4,-253798.3533,279406.7349,"S4_F10_m1f1_P10_Y1_UO12","I1_F33_m-1f-1_P1_Y-1_U120","I1_F10_m-1f-1_P1_Y-1_U189","FXX",1,0,0,0,0,0,0,0,-9999,0.25,1,"P0_CV0",1,1,1,2,0,0,2,0,2
4,-253798.3533,279406.7349,"S4_F82_m4f4_P82_Y1_UO221","I4_F82_m-1f-1_P4_Y-1_U143","I4_F96_m-1f-1_P4_Y-1_U98","MXY",1,0,0,0,0,0,0,0,-9999,0.75,1,"P3_CV0",1,1,1,1,1,0,2,0,2
4,-253798.3533,279406.7349,"S4_F82_m77f77_P82_Y1_UO3282","I77_F18_m-1f-1_P77_Y-1_U46","I77_F33_m-1f-1_P77_Y-1_U127","MXY",1,0,0,0,0,0,0,0,5097,0.5,1,"P76_CV0",1,2,0,1,1,0,2,0,2
4,-253798.3533,279406.7349,"I4_F82_m4f4_P82_Y0_UO282","R4_F4_m-1f-1_P4_Y-1_U210","R4_F4_m-1f-1_P4_Y-1_U194","MXY",2,0,1,0,0,0,0,0,-9999,0.5,1,"P3_CV0",1,1,1,2,0,0,2,0,2
4,-253798.3533,279406.7349,"I4_F82_m-1f-1_P4_Y-1_U18","-9999","-9999","MXY",3,0,1,0,0,0,0,0,-9999,1,1,"P3_CV0",1,2,0,2,0,0,2,0,2
4,-253798.3533,279406.7349,"ID4_F10_m-1f-1_P4_Y-1_U141","-9999","-9999","FXX",5,0,1,0,1,0,0,0,-9999,0,1,"P3_CV0",1,0,2,2,0,0,2,0,2
4,-253798.3533,279406.7349,"I4_F67_m-1f-1_P4_Y-1_U210","-9999","-9999","FXX",8,0,1,0,1,0,0,0,-9999,0.5,1,"P3_CV0",1,1,1,2,0,0,2,0,2
