Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,2464|1889|1572|1363|1139|920|610|533|413|372|260|244|257|232|133|99|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,2464|1889|1572|1363|1139|920|610|533|413|372|260|244|257|232|133|99|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|2464|1889|1572|1363|1139|920|610|533|413|372|260|244|257|232|232|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|2464|1889|1572|1363|1139|920|610|533|413|372|260|244|257|232|232|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,5053|2464|1889|1572|1363|1139|920|610|533|413|372|260|244|257|232|232|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,5053|2464|1889|1572|1363|1139|920|610|533|413|372|260|244|257|232|232|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,273|1133|532|413|334|260|189|119|94|63|48|38|48|72|88|60|,4780|1331|1357|1159|1029|879|731|491|439|350|324|222|196|185|144|73|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4780|1331|1357|1159|1029|879|731|491|439|350|324|222|196|185|144|73|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4780|1331|1357|1159|1029|879|731|491|439|350|324|222|196|185|144|73|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4780|1331|1357|1159|1029|879|731|491|439|350|324|222|196|185|217|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4780|1331|1357|1159|1029|879|731|491|439|350|324|222|196|185|217|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4521|4780|1331|1357|1159|1029|879|731|491|439|350|324|222|196|185|217|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4521|4780|1331|1357|1159|1029|879|731|491|439|350|324|222|196|185|217|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,231|2243|379|366|295|238|185|146|90|72|52|52|45|59|67|69|,4290|2537|952|991|864|791|694|585|401|367|298|272|177|137|118|75|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4290|2537|952|991|864|791|694|585|401|367|298|272|177|137|118|75|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4290|2537|952|991|864|791|694|585|401|367|298|272|177|137|118|75|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4290|2537|952|991|864|791|694|585|401|367|298|272|177|137|193|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4290|2537|952|991|864|791|694|585|401|367|298|272|177|137|193|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4690|4290|2537|952|991|864|791|694|585|401|367|298|272|177|137|193|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4690|4290|2537|952|991|864|791|694|585|401|367|298|272|177|137|193|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,275|2012|738|254|245|201|168|136|105|59|56|49|56|47|50|52|,4415|2278|1799|698|746|663|623|558|480|342|311|249|216|130|87|66|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4415|2278|1799|698|746|663|623|558|480|342|311|249|216|130|87|66|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4415|2278|1799|698|746|663|623|558|480|342|311|249|216|130|87|66|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4415|2277|1799|698|746|663|623|558|480|342|311|249|216|130|153|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4415|2277|1799|698|746|663|623|558|480|342|311|249|216|130|153|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4699|4415|2277|1799|698|746|663|623|558|480|342|311|249|216|130|153|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4699|4415|2277|1799|698|746|663|623|558|480|342|311|249|216|130|153|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,160|2094|679|504|176|180|143|123|100|79|51|51|50|64|47|45|,4539|2321|1598|1295|522|566|520|500|458|401|291|260|199|152|83|42|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4539|2321|1598|1295|522|566|520|500|458|401|291|260|199|152|83|42|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4539|2321|1598|1295|522|566|520|500|458|401|291|260|199|152|83|42|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4539|2320|1598|1295|522|565|520|500|458|401|291|260|199|152|125|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4539|2320|1598|1295|522|565|520|500|458|401|291|260|199|152|125|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4653|4539|2320|1598|1295|522|565|520|500|458|401|291|260|199|152|125|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4653|4539|2320|1598|1295|522|565|520|500|458|401|291|260|199|152|125|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,106|2148|688|441|338|130|118|101|89|75|58|45|49|56|57|44|,4547|2391|1632|1157|957|392|447|419|411|383|343|246|211|143|95|39|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4547|2391|1632|1157|957|392|447|419|411|383|343|246|211|143|95|39|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4547|2391|1632|1157|957|392|447|419|411|383|343|246|211|143|95|39|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4547|2391|1632|1157|957|392|447|419|410|383|343|246|211|143|134|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4547|2391|1632|1157|957|392|447|419|410|383|343|246|211|143|134|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4702|4547|2391|1632|1157|957|392|447|419|410|383|343|246|211|143|134|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4702|4547|2391|1632|1157|957|392|447|419|410|383|343|246|211|143|134|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,66|2148|706|455|295|229|81|89|78|67|51|54|49|55|55|41|,4636|2399|1685|1177|862|728|311|358|341|343|332|289|197|156|88|54|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4636|2399|1685|1177|862|728|311|358|341|343|332|289|197|156|88|54|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4636|2399|1685|1177|862|728|311|358|341|343|332|289|197|156|88|54|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4636|2399|1684|1177|862|728|311|358|341|343|332|289|197|156|142|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4636|2399|1684|1177|862|728|311|358|341|343|332|289|197|156|142|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4701|4636|2399|1684|1177|862|728|311|358|341|343|332|289|197|156|142|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4701|4636|2399|1684|1177|862|728|311|358|341|343|332|289|197|156|142|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,60|2195|716|468|309|208|167|57|60|53|51|54|58|58|61|40|,4641|2441|1683|1216|868|654|561|254|298|288|292|278|231|139|95|48|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4641|2441|1683|1216|868|654|561|254|298|288|292|278|231|139|95|48|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4641|2441|1683|1216|868|654|561|254|298|288|292|278|231|139|95|48|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4641|2438|1681|1215|867|654|561|254|298|287|291|278|231|139|143|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4641|2438|1681|1215|867|654|561|254|298|287|291|278|231|139|143|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4722|4641|2438|1681|1215|867|654|561|254|298|287|291|278|231|139|143|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4722|4641|2438|1681|1215|867|654|561|254|298|287|291|278|231|139|143|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,79|2205|722|470|319|213|148|114|41|44|40|48|56|64|47|46|,4643|2436|1716|1211|896|654|506|447|213|254|247|243|222|167|92|49|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4643|2436|1716|1211|896|654|506|447|213|254|247|243|222|167|92|49|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4643|2436|1716|1211|896|654|506|447|213|254|247|243|222|167|92|49|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4643|2433|1715|1209|893|654|504|446|213|254|247|241|220|167|141|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4643|2433|1715|1209|893|654|504|446|213|254|247|241|220|167|141|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4686|4643|2433|1715|1209|893|654|504|446|213|254|247|241|220|167|141|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4686|4643|2433|1715|1209|893|654|504|446|213|254|247|241|220|167|141|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,59|2200|724|483|317|212|149|106|85|36|34|42|47|66|68|35|,4627|2443|1709|1232|892|681|505|398|361|177|220|205|194|154|99|57|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4627|2443|1709|1232|892|681|505|398|361|177|220|205|194|154|99|57|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4627|2443|1709|1232|892|681|505|398|361|177|220|205|194|154|99|57|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4656|2471|1726|1238|906|689|508|406|366|178|222|210|197|156|156|,0|29|29|21|8|18|10|4|8|5|2|3|5|3|3|2|,0|4656|2471|1726|1238|906|689|508|406|366|178|222|210|197|156|156|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4688|4656|2471|1726|1238|906|689|508|406|366|178|222|210|197|156|156|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4688|4656|2471|1726|1238|906|689|508|406|366|178|222|210|197|156|156|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,52|2218|743|486|330|216|157|106|72|59|30|43|38|59|61|45|,4636|2438|1728|1240|908|690|532|402|334|307|148|179|172|138|95|55|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
