Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,2481|1880|1623|1410|1120|875|609|518|403|343|239|256|240|253|115|135|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,2481|1880|1623|1410|1120|875|609|518|403|343|239|256|240|253|115|135|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|2481|1880|1623|1410|1120|875|609|518|403|343|239|256|240|253|250|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|2481|1880|1623|1410|1120|875|609|518|403|343|239|256|240|253|250|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,5024|2481|1880|1623|1410|1120|875|609|518|403|343|239|256|240|253|250|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,5024|2481|1880|1623|1410|1120|875|609|518|403|343|239|256|240|253|250|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,201|1140|524|426|343|249|183|118|86|64|39|37|48|67|93|54|,4823|1341|1356|1197|1067|871|692|491|432|339|304|202|208|173|160|61|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4823|1341|1356|1197|1067|871|692|491|432|339|304|202|208|173|160|61|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4823|1341|1356|1197|1067|871|692|491|432|339|304|202|208|173|160|61|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4823|1341|1356|1197|1067|871|692|491|432|339|304|202|208|173|221|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4823|1341|1356|1197|1067|871|692|491|432|339|304|202|208|173|221|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4407|4823|1341|1356|1197|1067|871|692|491|432|339|304|202|208|173|221|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4407|4823|1341|1356|1197|1067|871|692|491|432|339|304|202|208|173|221|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,225|2253|383|365|299|245|188|131|84|70|47|50|40|59|67|73|,4182|2570|958|991|898|822|683|561|407|362|292|254|162|149|106|87|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4182|2570|958|991|898|822|683|561|407|362|292|254|162|149|106|87|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4182|2570|958|991|898|822|683|561|407|362|292|254|162|149|106|87|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4182|2570|958|989|898|822|683|561|407|362|292|254|162|149|193|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4182|2570|958|989|898|822|683|561|407|362|292|254|162|149|193|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4626|4182|2570|958|989|898|822|683|561|407|362|292|254|162|149|193|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4626|4182|2570|958|989|898|822|683|561|407|362|292|254|162|149|193|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,152|1951|748|253|251|202|176|131|99|68|50|52|50|50|60|54|,4474|2231|1822|705|738|696|646|552|462|339|312|240|204|112|89|52|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4474|2231|1822|705|738|696|646|552|462|339|312|240|204|112|89|52|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4474|2231|1822|705|738|696|646|552|462|339|312|240|204|112|89|52|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4474|2231|1822|705|738|696|646|552|462|339|312|240|204|112|141|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4474|2231|1822|705|738|696|646|552|462|339|312|240|204|112|141|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4568|4474|2231|1822|705|738|696|646|552|462|339|312|240|204|112|141|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4568|4474|2231|1822|705|738|696|646|552|462|339|312|240|204|112|141|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,122|2102|656|500|169|164|152|123|96|75|53|52|43|60|45|37|,4446|2372|1575|1322|536|574|544|523|456|387|286|260|197|144|67|52|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4446|2372|1575|1322|536|574|544|523|456|387|286|260|197|144|67|52|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4446|2372|1575|1322|536|574|544|523|456|387|286|260|197|144|67|52|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4446|2372|1575|1321|536|574|544|523|456|387|286|260|197|144|119|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4446|2372|1575|1321|536|574|544|523|456|387|286|260|197|144|119|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4631|4446|2372|1575|1321|536|574|544|523|456|387|286|260|197|144|119|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4631|4446|2372|1575|1321|536|574|544|523|456|387|286|260|197|144|119|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,89|2104|695|439|339|118|131|109|93|70|61|49|56|58|56|29|,4542|2342|1677|1136|982|418|443|435|430|386|326|237|204|139|88|38|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4542|2342|1677|1136|982|418|443|435|430|386|326|237|204|139|88|38|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4542|2342|1677|1136|982|418|443|435|430|386|326|237|204|139|88|38|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4542|2340|1676|1136|981|418|443|434|429|386|326|237|204|139|126|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4542|2340|1676|1136|981|418|443|434|429|386|326|237|204|139|126|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4601|4542|2340|1676|1136|981|418|443|434|429|386|326|237|204|139|126|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4601|4542|2340|1676|1136|981|418|443|434|429|386|326|237|204|139|126|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,115|2137|694|457|292|232|94|89|79|69|57|50|45|64|50|40|,4486|2405|1646|1219|844|749|324|354|355|360|329|276|192|140|89|48|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4486|2405|1646|1219|844|749|324|354|355|360|329|276|192|140|89|48|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4486|2405|1646|1219|844|749|324|354|355|360|329|276|192|140|89|48|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4486|2404|1646|1219|844|748|324|354|355|359|329|276|192|139|137|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4486|2404|1646|1219|844|748|324|354|355|359|329|276|192|139|137|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4646|4486|2404|1646|1219|844|748|324|354|355|359|329|276|192|139|137|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4646|4486|2404|1646|1219|844|748|324|354|355|359|329|276|192|139|137|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,52|2124|712|459|319|200|171|64|66|56|51|54|52|55|53|44|,4594|2362|1692|1187|900|644|577|260|288|299|308|275|224|137|86|45|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4594|2362|1692|1187|900|644|577|260|288|299|308|275|224|137|86|45|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4594|2362|1692|1187|900|644|577|260|288|299|308|275|224|137|86|45|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4594|2359|1691|1186|899|642|577|260|288|298|306|274|223|137|131|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4594|2359|1691|1186|899|642|577|260|288|298|306|274|223|137|131|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4628|4594|2359|1691|1186|899|642|577|260|288|298|306|274|223|137|131|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4628|4594|2359|1691|1186|899|642|577|260|288|298|306|274|223|137|131|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,86|2176|705|471|309|218|150|122|49|44|39|47|54|62|49|41|,4542|2418|1654|1220|877|681|492|455|211|244|259|259|220|161|88|45|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4542|2418|1654|1220|877|681|492|455|211|244|259|259|220|161|88|45|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4542|2418|1654|1220|877|681|492|455|211|244|259|259|220|161|88|45|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4542|2417|1651|1217|876|679|491|454|210|243|258|258|219|161|133|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4542|2417|1651|1217|876|679|491|454|210|243|258|258|219|161|133|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4630|4542|2417|1651|1217|876|679|491|454|210|243|258|258|219|161|133|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4630|4542|2417|1651|1217|876|679|491|454|210|243|258|258|219|161|133|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,82|2158|716|461|316|212|152|100|85|32|33|39|45|63|65|40|,4548|2384|1701|1190|901|664|527|391|369|178|210|219|213|156|96|48|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4548|2384|1701|1190|901|664|527|391|369|178|210|219|213|156|96|48|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4548|2384|1701|1190|901|664|527|391|369|178|210|219|213|156|96|48|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4580|2402|1719|1202|918|674|534|394|370|181|211|220|214|157|148|,0|32|21|21|14|17|12|8|6|4|4|2|2|1|2|4|,0|4580|2402|1719|1202|918|674|534|394|370|181|211|220|214|157|148|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4697|4580|2402|1719|1202|918|674|534|394|370|181|211|220|214|157|148|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4697|4580|2402|1719|1202|918|674|534|394|370|181|211|220|214|157|148|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,95|2176|715|478|311|220|151|108|73|66|31|31|38|58|60|46|,4602|2404|1687|1241|891|698|523|426|321|304|150|180|182|156|97|52|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
