Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|7|,15035|4542|2878|1695|1114|603|397|212|,59.98986411706019|110.37730206957288|139.89554933981933|180.11121710914452|200.1176633752244|230.16157048092867|239.20314609571787|248.3704575471698|,3.0258270707166472|10.64811908311837|16.836680119085717|18.368531569703656|17.40412891226054|20.004601373078614|19.657885716811723|18.871922656874833|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,15088|4650|2625|1632|1185|641|224|431|,60.06669658006363|109.73225268817204|140.78530933333334|175.56157904411768|201.57421518987343|224.62441809672387|239.7077455357143|258.3815498839907|,3.2906440831799966|8.870631052749188|10.189532261891241|8.713203124699978|7.006079401781931|5.71045765013848|2.964069688499857|10.6797380237903|,14480|2465|4590|1924|1454|790|272|501|,0|0|0|0|0|0|0|0|,163026|2465|4590|1924|1454|790|272|501|,127305|1|1681|458|882|529|133|499|,35706|2464|2909|1466|572|261|139|2|,0|0|0|0|0|0|0|60|,0|0|0|0|4|29|27|0|,34555|3053|3334|1496|639|253|121|8|,0|0|0|0|0|0|0|0|,18402|266|258|55|29|7|16|3|,16153|2787|3076|1441|610|246|105|5|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|7|,15008|2590|3311|1896|941|457|168|52|,63.71625208301314|84.7364097028221|129.23931338206802|156.37989280359926|186.8402164842476|202.77178105529768|226.67711505432817|229.28056876955162|,5.277572418067102|7.029543464429419|11.924649680180073|18.068631388782666|17.595178114435836|18.00924152733372|14.582850175070513|13.265960114340063|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,16153|2787|3076|1441|610|246|105|5|,64.74088649086578|103.23598064339765|139.5518028385279|174.7775481955944|200.94598968943598|223.63112437966566|239.98558788372378|246.66825158033862|,6.34293867203256|14.816758249102692|9.795518474499678|8.627361531435355|7.2462810001668245|6.094635638082735|2.8133871954624934|2.04496183681851|,11718|6125|3498|1779|850|307|114|32|,0|0|0|0|0|0|0|0|,100567|6125|3498|1779|850|307|114|32|,80560|2792|1601|812|348|109|42|16|,18319|3185|1836|927|490|196|67|16|,0|0|0|0|0|0|0|67|,0|0|0|1|11|24|24|7|,17539|3881|1779|1022|509|183|44|12|,0|0|0|0|0|0|0|0|,5682|653|144|136|68|12|3|3|,11857|3228|1635|886|441|171|41|9|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|7|,10831|2745|1417|1631|897|454|237|56|,63.98201303864168|87.94980322637515|103.9267057011363|144.77518521635474|168.57219940487553|195.90258120179183|209.7779558336238|230.60194559150568|,5.367593754240851|9.48552046873309|8.677433464725096|13.266485318399317|19.172978502560063|17.56758980100912|17.84792795592214|11.491230448244071|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,11857|3228|1635|886|441|171|41|9|,65.31290671968803|98.47577453708617|144.07038065787344|174.0144546124895|200.24147739231205|223.21290571751038|240.13398969842487|248.41944812328217|,6.8026526786525405|10.178498982399365|9.223322173771745|8.847426728913206|6.914606481681079|5.286116100195161|3.032979874924866|3.4939768591842846|,8027|6597|1644|1197|536|204|41|22|,0|0|0|0|0|0|0|0|,65607|6597|1644|1197|536|204|41|22|,50917|2443|68|200|42|14|3|9|,14460|4117|1571|993|492|189|38|13|,0|0|0|0|0|0|0|129|,0|0|0|10|48|50|18|3|,13704|4644|1676|1060|485|144|21|10|,0|0|0|0|0|0|0|0|,5111|457|59|87|29|15|0|1|,8593|4187|1617|973|456|129|21|9|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|7|,7938|2420|1816|1113|1434|750|386|128|,64.31930614544883|88.87204517650272|109.00885881176451|120.51162585058354|155.33423610097304|175.4875889000433|201.4657329890257|215.2212438828733|,5.851993038399788|8.720704702322951|11.098414947599133|10.613863044690323|13.429388781823993|19.81379834213238|17.498246749290413|17.87706788071106|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,8593|4187|1617|973|456|129|21|9|,65.33841651865546|102.42139191135233|143.2256460871102|172.6449023174024|200.4553594388479|223.695425390012|239.62716128170203|248.70468405584572|,6.526214784751403|11.36795147674681|10.65615234799811|8.646027707949736|6.741002130192111|5.257926882236517|2.437714288716835|2.7604387105478105|,5843|5922|2269|1249|520|146|25|11|,0|0|0|0|0|0|0|0|,62491|5922|2269|1249|520|146|25|11|,48690|1848|376|214|41|1|0|1|,13672|4049|1884|1032|479|145|25|10|,0|0|0|0|0|0|0|225|,0|0|4|25|127|53|13|3|,12935|4390|2184|1076|367|100|11|8|,0|0|0|0|0|0|0|0|,4494|641|372|85|3|2|0|1|,8441|3749|1812|991|364|98|11|7|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|7|,7926|1983|1560|1193|790|1142|624|255|,64.40032941310224|89.41144070259105|109.5819122061927|124.88806038820788|131.96131517039564|162.81310387280377|181.52642559204222|209.5149431936778|,5.582208666289178|8.69178433542854|9.566085357074776|12.081696969657578|11.659920344228407|14.005737864077243|20.398438595503517|17.94639901995397|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,8441|3749|1812|991|364|98|11|7|,65.34770003605156|103.904005294822|139.4575359296854|172.75666535668836|201.06679730463753|223.8515398350064|240.38025687379903|250.71862020833638|,6.617155132790041|11.994638583994861|10.454063832353155|8.388932214529095|6.979836155206105|5.667922311496061|2.6771898813792436|4.131244770678895|,5615|5496|2695|1124|403|117|16|7|,0|0|0|0|0|0|0|0|,57576|5496|2695|1124|403|117|16|7|,43757|1650|722|45|14|1|0|0|,13709|3820|1965|1075|388|116|16|7|,0|0|0|0|0|0|0|417|,0|0|32|142|165|65|10|3|,13096|4146|2179|957|233|58|6|4|,0|0|0|0|0|0|0|0|,4642|495|286|36|1|2|0|0|,8454|3651|1893|921|232|56|6|4|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|7|,7871|2137|1411|1084|793|499|1008|414|,64.3425269035375|88.95067887476347|110.27673379811226|125.49873954696498|137.13361649634697|138.948867418139|168.89983681338026|193.38098970269002|,5.1977994796275455|8.069738724640246|9.803840565141709|10.717394839372918|13.864427284428563|13.117192941150565|14.017191107840837|21.711649096887072|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,8454|3651|1893|921|232|56|6|4|,65.4197897821778|103.58815203441732|139.63439597731346|173.21028110804346|200.55762347074094|222.74109076396954|239.86942076291382|251.50760122307446|,6.466757355897268|12.265634866881188|9.526555540902136|7.972699338717616|6.9606710888426955|5.875431079494007|3.1756386341743794|4.220090775305837|,5667|5388|2803|1019|268|59|8|5|,0|0|0|0|0|0|0|0|,51448|5388|2803|1019|268|59|8|5|,37845|1565|716|35|4|2|0|0|,13318|3805|2077|980|263|57|8|5|,0|0|0|0|0|0|0|691|,0|0|101|426|129|29|4|2|,12625|4257|2180|587|137|29|4|3|,0|0|0|0|0|0|0|0|,4448|666|175|6|1|1|0|1|,8177|3591|2005|581|136|28|4|2|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|7|,7512|2047|1520|1023|762|591|413|656|,64.03294650358318|88.18117381594058|109.17346323601362|125.32287061805785|136.63501183685332|144.7640453786417|143.2208820293147|179.94247799798111|,5.23301111177178|8.7247726682605|10.111161103647598|11.265183096589196|12.359024978908367|15.51624181316476|14.069902728004578|19.551933296479092|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,8177|3591|2005|581|136|28|4|2|,65.17941960135845|104.2674839994653|139.39791939014776|173.17351692672455|201.28672822932077|221.22627673437856|238.96517551068703|253.37752827445914|,6.300937972676554|11.993300412089132|9.365237383310271|8.029441581554487|7.3205398222947355|4.874633226348579|3.484277280180451|5.503506306844514|,5407|5302|2933|696|149|31|4|2|,0|0|0|0|0|0|0|0|,40334|5302|2933|696|149|31|4|2|,28483|1419|495|29|1|0|0|0|,11778|3862|2430|663|148|31|4|2|,0|0|0|0|0|0|0|531|,0|8|178|244|84|12|4|1|,11093|4246|2494|470|64|18|1|1|,0|0|0|0|0|0|0|0|,3586|707|219|28|0|0|0|0|,7507|3539|2275|442|64|18|1|1|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|7|,6709|2294|1437|1072|785|595|493|462|,63.89551046832881|87.94704126956034|109.0222491959668|125.76761779270161|137.39948894298576|144.19967016677873|150.15573261157166|168.7599852627899|,5.056125432023797|8.10334687707438|9.275287187887903|10.730137999627622|11.866377607318938|12.753433067641467|16.2351431954304|25.395929269617884|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,7507|3539|2275|442|64|18|1|1|,65.6397180095157|103.07049403946553|139.12992192956287|172.19015324170965|202.14460170060244|221.76223046560528|235.01092891601826|248.19549933118253|,7.027219874236592|12.28293360119677|9.311185203718399|8.664140243827875|7.176144738118902|4.791363542942041|0.0|0.0|,5022|5049|3136|541|79|18|1|1|,0|0|0|0|0|0|0|0|,35616|5049|3136|541|79|18|1|1|,24386|1141|589|20|2|0|0|0|,11119|3883|2540|520|77|18|1|1|,0|0|0|0|0|0|0|446|,0|12|200|181|41|12|0|0|,10440|4326|2519|378|42|6|1|1|,0|0|0|0|0|0|0|0|,2971|671|214|14|0|0|0|0|,7469|3655|2305|364|42|6|1|1|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|7|,6755|2033|1678|1061|780|625|490|421|,64.2667377498833|87.34819899711997|108.28007780249911|124.90139925778904|136.64353743845032|144.87870940865605|149.40754901470902|161.55737437706867|,5.561506703846167|8.344979220650906|9.661179702559162|10.581964920959823|11.852209767289093|13.112689967076243|13.868315106214862|22.572719282510157|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,7469|3655|2305|364|42|6|1|1|,65.64737539267946|103.77768705068678|139.84846863227654|170.56169421807007|199.4413826950932|224.70192914971372|235.58349676741346|248.3604232512335|,6.911789787271208|11.817925666900905|9.12659736216335|7.993942894663186|7.578892028877593|5.055822160041734|0.0|0.0|,4701|5371|3230|478|54|7|1|1|,0|0|0|0|0|0|0|0|,32305|5371|3230|478|54|7|1|1|,21412|1701|676|18|1|0|0|0|,10852|3651|2548|459|53|7|1|1|,0|0|0|0|0|0|0|406|,0|12|219|149|21|4|1|0|,10317|3934|2519|358|33|4|0|1|,0|0|0|0|0|0|0|0|,2996|474|271|26|0|0|0|0|,7321|3460|2248|332|33|4|0|1|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|7|,6436|2204|1392|1125|746|611|495|390|,63.9104493449113|87.19068488738733|107.69425153246554|123.14393416104276|136.1293246487272|143.86539552597685|149.5221059574091|158.07008962262162|,5.428931494941939|9.753678926011432|10.91982855869831|12.273570122598489|11.975370219794403|13.315459764529963|14.36778609766642|19.430651075951378|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,7321|3460|2248|332|33|4|0|1|,65.65214261698198|103.57310831885205|139.74277245728706|169.56387378681126|196.4978472725836|221.53078346533246|nan|248.45423886586735|,7.07786502882742|12.091545820125997|9.146262886342413|7.48922090908068|5.1194037081646115|6.629353673552725|nan|0.0|,4679|5162|3079|436|38|4|0|1|,0|0|0|0|0|0|0|0|,31253|5162|3079|436|38|4|0|1|,19913|1333|655|25|3|0|0|0|,11298|3807|2418|410|35|4|0|1|,0|0|0|0|0|0|0|397|,0|3|247|129|14|3|0|1|,10730|4168|2348|305|24|1|0|0|,0|0|0|0|0|0|0|0|,3241|628|183|9|1|0|0|0|,7489|3540|2165|296|23|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
