Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,2503|1859|1637|1345|1188|848|634|506|371|340|270|260|241|238|123|137|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,2503|1859|1637|1345|1188|848|634|506|371|340|270|260|241|238|123|137|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|2503|1859|1637|1345|1188|848|634|506|371|340|270|260|241|238|260|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|2503|1859|1637|1345|1188|848|634|506|371|340|270|260|241|238|260|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4870|2503|1859|1637|1345|1188|848|634|506|371|340|270|260|241|238|260|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4870|2503|1859|1637|1345|1188|848|634|506|371|340|270|260|241|238|260|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,166|1149|517|429|324|271|175|119|91|56|48|43|52|68|89|57|,4704|1354|1342|1208|1021|917|673|515|415|315|292|227|208|173|149|66|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4704|1354|1342|1208|1021|917|673|515|415|315|292|227|208|173|149|66|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4704|1354|1342|1208|1021|917|673|515|415|315|292|227|208|173|149|66|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4704|1354|1342|1208|1021|917|673|515|415|315|292|227|208|173|215|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4704|1354|1342|1208|1021|917|673|515|415|315|292|227|208|173|215|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4305|4704|1354|1342|1208|1021|917|673|515|415|315|292|227|208|173|215|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4305|4704|1354|1342|1208|1021|917|673|515|415|315|292|227|208|173|215|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,191|2199|386|357|301|239|199|139|96|68|43|43|44|61|65|64|,4114|2505|968|985|907|782|718|534|419|347|272|249|183|147|108|85|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4114|2505|968|985|907|782|718|534|419|347|272|249|183|147|108|85|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4114|2505|968|985|907|782|718|534|419|347|272|249|183|147|108|85|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4114|2505|968|985|907|782|718|534|419|347|272|249|183|147|193|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4114|2505|968|985|907|782|718|534|419|347|272|249|183|147|193|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4510|4114|2505|968|985|907|782|718|534|419|347|272|249|183|147|193|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4510|4114|2505|968|985|907|782|718|534|419|347|272|249|183|147|193|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,216|1926|729|255|249|210|167|136|94|65|47|47|49|55|58|47|,4294|2188|1776|713|736|697|615|582|440|354|300|225|200|128|89|61|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4294|2188|1776|713|736|697|615|582|440|354|300|225|200|128|89|61|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4294|2188|1776|713|736|697|615|582|440|354|300|225|200|128|89|61|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4294|2188|1776|713|736|697|615|582|440|354|300|225|200|128|150|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4294|2188|1776|713|736|697|615|582|440|354|300|225|200|128|150|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4445|4294|2188|1776|713|736|697|615|582|440|354|300|225|200|128|150|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4445|4294|2188|1776|713|736|697|615|582|440|354|300|225|200|128|150|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,103|2021|638|485|184|169|151|123|99|68|50|47|47|56|44|38|,4342|2273|1550|1291|529|567|546|492|483|372|304|253|178|144|84|51|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4342|2273|1550|1291|529|567|546|492|483|372|304|253|178|144|84|51|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4342|2273|1550|1291|529|567|546|492|483|372|304|253|178|144|84|51|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4342|2272|1550|1291|529|567|546|492|483|372|304|252|178|144|135|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4342|2272|1550|1291|529|567|546|492|483|372|304|252|178|144|135|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4482|4342|2272|1550|1291|529|567|546|492|483|372|304|252|178|144|135|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4482|4342|2272|1550|1291|529|567|546|492|483|372|304|252|178|144|135|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,74|2056|672|429|337|119|125|103|92|83|53|51|46|52|54|42|,4408|2286|1600|1121|954|410|442|443|400|400|319|253|206|126|90|42|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4408|2286|1600|1121|954|410|442|443|400|400|319|253|206|126|90|42|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4408|2286|1600|1121|954|410|442|443|400|400|319|253|206|126|90|42|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4408|2286|1600|1121|954|410|442|443|400|400|319|253|206|126|132|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4408|2286|1600|1121|954|410|442|443|400|400|319|253|206|126|132|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4446|4408|2286|1600|1121|954|410|442|443|400|400|319|253|206|126|132|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4446|4408|2286|1600|1121|954|410|442|443|400|400|319|253|206|126|132|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,86|2085|675|442|289|226|83|85|80|65|56|51|50|56|50|38|,4360|2323|1611|1158|832|728|327|357|363|335|344|268|203|150|76|52|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4360|2323|1611|1158|832|728|327|357|363|335|344|268|203|150|76|52|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4360|2323|1611|1158|832|728|327|357|363|335|344|268|203|150|76|52|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4360|2322|1610|1157|832|727|327|357|363|335|344|268|203|150|128|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4360|2322|1610|1157|832|727|327|357|363|335|344|268|203|150|128|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4455|4360|2322|1610|1157|832|727|327|357|363|335|344|268|203|150|128|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4455|4360|2322|1610|1157|832|727|327|357|363|335|344|268|203|150|128|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,41|2053|678|442|298|197|160|63|59|51|51|52|54|61|56|31|,4414|2307|1644|1168|859|635|567|264|298|312|284|292|214|142|94|45|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4414|2307|1644|1168|859|635|567|264|298|312|284|292|214|142|94|45|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4414|2307|1644|1168|859|635|567|264|298|312|284|292|214|142|94|45|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4414|2307|1643|1168|858|635|566|264|297|311|284|292|213|142|139|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4414|2307|1643|1168|858|635|566|264|297|311|284|292|213|142|139|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4465|4414|2307|1643|1168|858|635|566|264|297|311|284|292|213|142|139|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4465|4414|2307|1643|1168|858|635|566|264|297|311|284|292|213|142|139|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,42|2102|690|458|306|212|144|113|47|48|43|48|58|62|54|48|,4423|2312|1617|1185|862|646|491|453|217|249|268|236|234|151|88|46|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4423|2312|1617|1185|862|646|491|453|217|249|268|236|234|151|88|46|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4423|2312|1617|1185|862|646|491|453|217|249|268|236|234|151|88|46|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4423|2306|1615|1185|861|645|490|451|217|248|268|235|233|151|134|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4423|2306|1615|1185|861|645|490|451|217|248|268|235|233|151|134|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4540|4423|2306|1615|1185|861|645|490|451|217|248|268|235|233|151|134|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4540|4423|2306|1615|1185|861|645|490|451|217|248|268|235|233|151|134|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,56|2096|690|450|305|205|143|101|89|38|30|43|45|65|57|42|,4484|2327|1616|1165|880|656|502|389|362|179|218|225|190|168|94|46|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4484|2327|1616|1165|880|656|502|389|362|179|218|225|190|168|94|46|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4484|2327|1616|1165|880|656|502|389|362|179|218|225|190|168|94|46|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4484|2324|1611|1161|877|655|502|389|362|177|218|224|190|168|139|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4484|2324|1611|1161|877|655|502|389|362|177|218|224|190|168|139|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4510|4484|2324|1611|1161|877|655|502|389|362|177|218|224|190|168|139|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4510|4484|2324|1611|1161|877|655|502|389|362|177|218|224|190|168|139|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,74|2132|694|449|309|211|141|99|73|59|30|32|40|51|59|41|,4436|2352|1630|1162|852|666|514|403|316|303|147|186|184|139|109|52|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
